"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"Gallarate-Pioltello","45.4594809978797","9.22396965966341","21",""
"Gallarate-Pioltello","45.4558103778789","9.23683413881649","22",""
"Gallarate-Pioltello","45.48078","9.298553","23",""
"Gallarate-Pioltello","45.48613","9.329495","24",""
"Gallarate-Treviglio","45.659638","8.798311","6",""
"Gallarate-Treviglio","45.616122","8.864852","7",""
"Gallarate-Treviglio","45.593707","8.910805","8",""
"Gallarate-Treviglio","45.569324","8.926713","9",""
"Gallarate-Treviglio","45.552763","8.946363","10",""
"Gallarate-Treviglio","45.52541","8.995719","11",""
"Gallarate-Treviglio","45.52413","9.043471","12",""
"Gallarate-Treviglio","45.521173","9.088161","13",""
"Gallarate-Treviglio","45.506768","9.136441","14",""
"Gallarate-Treviglio","45.502019","9.15093","15",""
"Gallarate-Treviglio","45.494969","9.176191","16",""
"Gallarate-Treviglio","45.484597","9.187596","17",""
"Gallarate-Treviglio","45.47882","9.197123","18",""
"Gallarate-Treviglio","45.475495","9.206114","19",""
"Gallarate-Treviglio","45.467844","9.217368","20",""
"Gallarate-Treviglio","45.4594809978797","9.22396965966341","21",""
"Gallarate-Treviglio","45.4558103778789","9.23683413881649","22",""
"Gallarate-Treviglio","45.48078","9.298553","23",""
"Gallarate-Treviglio","45.48613","9.329495","24",""
"Gallarate-Treviglio","45.494163","9.375522","25",""
"Gallarate-Treviglio","45.502066","9.419199","26",""
"Gallarate-Treviglio","45.508509","9.456332","27",""
"Gallarate-Treviglio","45.51267","9.480203","28",""
"Gallarate-Treviglio","45.514459","9.5129","29",""
"Gallarate-Treviglio","45.515403","9.588693","30",""
"Gallarate-Varese","45.659638","8.798311","25",""
"Gallarate-Varese","45.698192","8.803734","26",""
"Gallarate-Varese","45.723255","8.806132","27",""
"Gallarate-Varese","45.745227","8.810531","28",""
"Gallarate-Varese","45.778696","8.824688","29",""
"Gallarate-Varese","45.816218","8.832965","30",""
"Lecco-Milano Porta Garibaldi","45.856403","9.393445","1",""
"Lecco-Milano Porta Garibaldi","45.830896","9.411979","2",""
"Lecco-Milano Porta Garibaldi","45.812827","9.422552","3",""
"Lecco-Milano Porta Garibaldi","45.801726","9.427181","4",""
"Lecco-Milano Porta Garibaldi","45.755504","9.422203","5",""
"Lecco-Milano Porta Garibaldi","45.729175","9.40368","6",""
"Lecco-Milano Porta Garibaldi","45.6949573864427","9.39682330239261","7",""
"Lecco-Milano Porta Garibaldi","45.678552","9.387104","8",""
"Lecco-Milano Porta Garibaldi","45.6530856145483","9.3752011107615","9",""
"Lecco-Milano Porta Garibaldi","45.62383","9.322924","10",""
"Lecco-Milano Porta Garibaldi","45.577974","9.272921","11",""
"Lecco-Milano Porta Garibaldi","45.54131","9.238933","12",""
"Lecco-Milano Porta Garibaldi","45.512914","9.214186","13",""
"Lecco-Milano Porta Garibaldi","45.484597","9.187596","14",""
"Lecco-Milano Porta Garibaldi via Besana","45.856403","9.393445","1",""
"Lecco-Milano Porta Garibaldi via Besana","45.846465","9.367974","2",""
"Lecco-Milano Porta Garibaldi via Besana","45.831286","9.35269","3",""
"Lecco-Milano Porta Garibaldi via Besana","45.821184","9.35935","4",""
"Lecco-Milano Porta Garibaldi via Besana","45.788924","9.337633","5",""
"Lecco-Milano Porta Garibaldi via Besana","45.78083","9.301697","6",""
"Lecco-Milano Porta Garibaldi via Besana","45.763464","9.284894","7",""
"Lecco-Milano Porta Garibaldi via Besana","45.746202","9.279907","8",""
"Lecco-Milano Porta Garibaldi via Besana","45.728377","9.279982","9",""
"Lecco-Milano Porta Garibaldi via Besana","45.702753","9.283037","10",""
"Lecco-Milano Porta Garibaldi via Besana","45.690366","9.261731","11",""
"Lecco-Milano Porta Garibaldi via Besana","45.676371","9.252103","12",""
"Lecco-Milano Porta Garibaldi via Besana","45.658911","9.266808","13",""
"Lecco-Milano Porta Garibaldi via Besana","45.645565","9.286856","14",""
"Lecco-Milano Porta Garibaldi via Besana","45.632205","9.298296","15",""
"Lecco-Milano Porta Garibaldi via Besana","45.621436","9.301225","16",""
"Lecco-Milano Porta Garibaldi via Besana","45.603386","9.305079","17",""
"Lecco-Milano Porta Garibaldi via Besana","45.581962","9.284465","18",""
"Lecco-Milano Porta Garibaldi via Besana","45.577974","9.272921","19",""
"Lecco-Milano Porta Garibaldi via Besana","45.54131","9.238933","20",""
"Lecco-Milano Porta Garibaldi via Besana","45.512914","9.214186","21",""
"Lecco-Milano Porta Garibaldi via Besana","45.484597","9.187596","22",""
"Lecco-Monza","45.856403","9.393445","1",""
"Lecco-Monza","45.846465","9.367974","2",""
"Lecco-Monza","45.831286","9.35269","3",""
"Lecco-Monza","45.821184","9.35935","4",""
"Lecco-Monza","45.788924","9.337633","5",""
"Lecco-Monza","45.78083","9.301697","6",""
"Lecco-Monza","45.763464","9.284894","7",""
"Lecco-Monza","45.746202","9.279907","8",""
"Lecco-Monza","45.728377","9.279982","9",""
"Lecco-Monza","45.702753","9.283037","10",""
"Lecco-Monza","45.690366","9.261731","11",""
"Lecco-Monza","45.676371","9.252103","12",""
"Lecco-Monza","45.658911","9.266808","13",""
"Lecco-Monza","45.645565","9.286856","14",""
"Lecco-Monza","45.632205","9.298296","15",""
"Lecco-Monza","45.621436","9.301225","16",""
"Lecco-Monza","45.603386","9.305079","17",""
"Lecco-Monza","45.581962","9.284465","18",""
"Lecco-Monza","45.577974","9.272921","19",""
"Lodi-Milano Bovisa","45.309211","9.497722","1",""
"Lodi-Milano Bovisa","45.326512","9.402924","2",""
"Lodi-Milano Bovisa","45.338037","9.361414","3",""
"Lodi-Milano Bovisa","45.356465","9.3194","4",""
"Lodi-Milano Bovisa","45.391285","9.286537","5",""
"Lodi-Milano Bovisa","45.402806","9.272266","6",""
"Lodi-Milano Bovisa","45.418591","9.253106","7",""
"Lodi-Milano Bovisa","45.433611","9.239167","8",""
"Lodi-Milano Bovisa","45.4594809978797","9.22396965966341","9",""
"Lodi-Milano Bovisa","45.467844","9.217368","10",""
"Lodi-Milano Bovisa","45.475495","9.206114","11",""
"Lodi-Milano Bovisa","45.47882","9.197123","12",""
"Lodi-Milano Bovisa","45.484597","9.187596","13",""
"Lodi-Milano Bovisa","45.494969","9.176191","14",""
"Lodi-Milano Bovisa","45.502512","9.159143","15",""
"Lodi-Saronno","45.309211","9.497722","1",""
"Lodi-Saronno","45.326512","9.402924","2",""
"Lodi-Saronno","45.338037","9.361414","3",""
"Lodi-Saronno","45.356465","9.3194","4",""
"Lodi-Saronno","45.391285","9.286537","5",""
"Lodi-Saronno","45.402806","9.272266","6",""
"Lodi-Saronno","45.418591","9.253106","7",""
"Lodi-Saronno","45.433611","9.239167","8",""
"Lodi-Saronno","45.4594809978797","9.22396965966341","9",""
"Lodi-Saronno","45.467844","9.217368","10",""
"Lodi-Saronno","45.475495","9.206114","11",""
"Lodi-Saronno","45.47882","9.197123","12",""
"Lodi-Saronno","45.484597","9.187596","13",""
"Lodi-Saronno","45.494969","9.176191","14",""
"Lodi-Saronno","45.502512","9.159143","15",""
"Lodi-Saronno","45.519579","9.145024","16",""
"Lodi-Saronno","45.533048","9.132621","17",""
"Lodi-Saronno","45.542962","9.123024","18",""
"Lodi-Saronno","45.552618","9.112085","19",""
"Lodi-Saronno","45.57113","9.090912","20",""
"Lodi-Saronno","45.580209","9.080313","21",""
"Lodi-Saronno","45.590815","9.066339","22",""
"Lodi-Saronno","45.598107","9.057955","23",""
"Lodi-Saronno","45.611718","9.0458","24",""
"Lodi-Saronno","45.624978","9.03076","25",""
"Milano Affori-Milano Cadorna","45.521258","9.167569","11",""
"Milano Affori-Milano Cadorna","45.502512","9.159143","12",""
"Milano Affori-Milano Cadorna","45.481182","9.161868","13",""
"Milano Affori-Milano Cadorna","45.468114","9.176824","14",""
"Milano Bovisa-Lodi","45.502512","9.159143","11",""
"Milano Bovisa-Lodi","45.494969","9.176191","12",""
"Milano Bovisa-Lodi","45.484597","9.187596","13",""
"Milano Bovisa-Lodi","45.47882","9.197123","14",""
"Milano Bovisa-Lodi","45.475495","9.206114","15",""
"Milano Bovisa-Lodi","45.467844","9.217368","16",""
"Milano Bovisa-Lodi","45.4594809978797","9.22396965966341","17",""
"Milano Bovisa-Lodi","45.433611","9.239167","18",""
"Milano Bovisa-Lodi","45.418591","9.253106","19",""
"Milano Bovisa-Lodi","45.402806","9.272266","20",""
"Milano Bovisa-Lodi","45.391285","9.286537","21",""
"Milano Bovisa-Lodi","45.356465","9.3194","22",""
"Milano Bovisa-Lodi","45.338037","9.361414","23",""
"Milano Bovisa-Lodi","45.326512","9.402924","24",""
"Milano Bovisa-Lodi","45.309211","9.497722","25",""
"Milano Bovisa-Pavia","45.502512","9.159143","1",""
"Milano Bovisa-Pavia","45.494969","9.176191","2",""
"Milano Bovisa-Pavia","45.484597","9.187596","3",""
"Milano Bovisa-Pavia","45.47882","9.197123","4",""
"Milano Bovisa-Pavia","45.475495","9.206114","5",""
"Milano Bovisa-Pavia","45.467844","9.217368","6",""
