"service_id","date","exception_type"
"LV-S-F","20150909","1"
"MAR-S","20150909","1"
"LV","20150910","1"
"LV-S","20150910","1"
"LV-S-F","20150910","1"
"MAR-S","20150910","1"
"LV","20150911","1"
"LV-S","20150911","1"
"LV-S-F","20150911","1"
"MAR-S","20150911","1"
"LV-S","20150912","1"
"LV-S-F","20150912","1"
"MAR-S","20150912","1"
"S-F","20150912","1"
"F","20150913","1"
"LV-S-F","20150913","1"
"S-F","20150913","1"
"LV","20150914","1"
"LV-S","20150914","1"
"LV-S-F","20150914","1"
"LV","20150915","1"
"LV-S","20150915","1"
"LV-S-F","20150915","1"
"MAR-S","20150915","1"
"LV","20150916","1"
"LV-S","20150916","1"
"LV-S-F","20150916","1"
"MAR-S","20150916","1"
"LV","20150917","1"
"LV-S","20150917","1"
"LV-S-F","20150917","1"
"MAR-S","20150917","1"
"LV","20150918","1"
"LV-S","20150918","1"
"LV-S-F","20150918","1"
"MAR-S","20150918","1"
"LV-S","20150919","1"
"LV-S-F","20150919","1"
"MAR-S","20150919","1"
"S-F","20150919","1"
"F","20150920","1"
"LV-S-F","20150920","1"
"S-F","20150920","1"
"LV","20150921","1"
"LV-S","20150921","1"
"LV-S-F","20150921","1"
"LV","20150922","1"
"LV-S","20150922","1"
"LV-S-F","20150922","1"
"MAR-S","20150922","1"
"LV","20150923","1"
"LV-S","20150923","1"
"LV-S-F","20150923","1"
"MAR-S","20150923","1"
"LV","20150924","1"
"LV-S","20150924","1"
"LV-S-F","20150924","1"
"MAR-S","20150924","1"
"LV","20150925","1"
"LV-S","20150925","1"
"LV-S-F","20150925","1"
"MAR-S","20150925","1"
"LV-S","20150926","1"
"LV-S-F","20150926","1"
"MAR-S","20150926","1"
"S-F","20150926","1"
"F","20150927","1"
"LV-S-F","20150927","1"
"S-F","20150927","1"
"LV","20150928","1"
"LV-S","20150928","1"
"LV-S-F","20150928","1"
"LV","20150929","1"
"LV-S","20150929","1"
"LV-S-F","20150929","1"
"MAR-S","20150929","1"
"LV","20150930","1"
"LV-S","20150930","1"
"LV-S-F","20150930","1"
"MAR-S","20150930","1"
"LV","20151001","1"
"LV-S","20151001","1"
"LV-S-F","20151001","1"
"MAR-S","20151001","1"
"LV","20151002","1"
"LV-S","20151002","1"
"LV-S-F","20151002","1"
"MAR-S","20151002","1"
"LV-S","20151003","1"
"LV-S-F","20151003","1"
"MAR-S","20151003","1"
"S-F","20151003","1"
"F","20151004","1"
"LV-S-F","20151004","1"
"S-F","20151004","1"
"LV","20151005","1"
"LV-S","20151005","1"
"LV-S-F","20151005","1"
"LV","20151006","1"
"LV-S","20151006","1"
"LV-S-F","20151006","1"
"MAR-S","20151006","1"
"LV","20151007","1"
"LV-S","20151007","1"
"LV-S-F","20151007","1"
"MAR-S","20151007","1"
"LV","20151008","1"
"LV-S","20151008","1"
"LV-S-F","20151008","1"
"MAR-S","20151008","1"
"LV","20151009","1"
"LV-S","20151009","1"
"LV-S-F","20151009","1"
"MAR-S","20151009","1"
"LV-S","20151010","1"
"LV-S-F","20151010","1"
"MAR-S","20151010","1"
"S-F","20151010","1"
"F","20151011","1"
"LV-S-F","20151011","1"
"S-F","20151011","1"
"LV","20151012","1"
"LV-S","20151012","1"
"LV-S-F","20151012","1"
"LV","20151013","1"
"LV-S","20151013","1"
"LV-S-F","20151013","1"
"MAR-S","20151013","1"
"LV","20151014","1"
"LV-S","20151014","1"
"LV-S-F","20151014","1"
"MAR-S","20151014","1"
"LV","20151015","1"
"LV-S","20151015","1"
"LV-S-F","20151015","1"
"MAR-S","20151015","1"
"LV","20151016","1"
"LV-S","20151016","1"
"LV-S-F","20151016","1"
"MAR-S","20151016","1"
"LV-S","20151017","1"
"LV-S-F","20151017","1"
"MAR-S","20151017","1"
"S-F","20151017","1"
"F","20151018","1"
"LV-S-F","20151018","1"
"S-F","20151018","1"
"LV","20151019","1"
"LV-S","20151019","1"
"LV-S-F","20151019","1"
"LV","20151020","1"
"LV-S","20151020","1"
"LV-S-F","20151020","1"
"MAR-S","20151020","1"
"LV","20151021","1"
"LV-S","20151021","1"
"LV-S-F","20151021","1"
"MAR-S","20151021","1"
"LV","20151022","1"
"LV-S","20151022","1"
"LV-S-F","20151022","1"
"MAR-S","20151022","1"
"LV","20151023","1"
"LV-S","20151023","1"
"LV-S-F","20151023","1"
"MAR-S","20151023","1"
"LV-S","20151024","1"
"LV-S-F","20151024","1"
"MAR-S","20151024","1"
"S-F","20151024","1"
"F","20151025","1"
"LV-S-F","20151025","1"
"S-F","20151025","1"
"LV","20151026","1"
"LV-S","20151026","1"
"LV-S-F","20151026","1"
"LV","20151027","1"
"LV-S","20151027","1"
"LV-S-F","20151027","1"
"MAR-S","20151027","1"
"LV","20151028","1"
"LV-S","20151028","1"
"LV-S-F","20151028","1"
"MAR-S","20151028","1"
"LV","20151029","1"
"LV-S","20151029","1"
"LV-S-F","20151029","1"
"MAR-S","20151029","1"
"LV","20151030","1"
"LV-S","20151030","1"
"LV-S-F","20151030","1"
"MAR-S","20151030","1"
"LV-S","20151031","1"
"LV-S-F","20151031","1"
"MAR-S","20151031","1"
"S-F","20151031","1"
"F","20151101","1"
"LV-S-F","20151101","1"
"S-F","20151101","1"
"LV","20151102","1"
"LV-S","20151102","1"
"LV-S-F","20151102","1"
"LV","20151103","1"
"LV-S","20151103","1"
"LV-S-F","20151103","1"
"MAR-S","20151103","1"
"LV","20151104","1"
"LV-S","20151104","1"
"LV-S-F","20151104","1"
"MAR-S","20151104","1"
"LV","20151105","1"
"LV-S","20151105","1"
"LV-S-F","20151105","1"
"MAR-S","20151105","1"
"LV","20151106","1"
"LV-S","20151106","1"
"LV-S-F","20151106","1"
"MAR-S","20151106","1"
"LV-S","20151107","1"
"LV-S-F","20151107","1"
"MAR-S","20151107","1"
"S-F","20151107","1"
"F","20151108","1"
"LV-S-F","20151108","1"
"S-F","20151108","1"
"LV","20151109","1"
"LV-S","20151109","1"
"LV-S-F","20151109","1"
"LV","20151110","1"
"LV-S","20151110","1"
"LV-S-F","20151110","1"
"MAR-S","20151110","1"
"LV","20151111","1"
"LV-S","20151111","1"
"LV-S-F","20151111","1"
"MAR-S","20151111","1"
"LV","20151112","1"
"LV-S","20151112","1"
"LV-S-F","20151112","1"
"MAR-S","20151112","1"
"LV","20151113","1"
"LV-S","20151113","1"
"LV-S-F","20151113","1"
"MAR-S","20151113","1"
"LV-S","20151114","1"
"LV-S-F","20151114","1"
"MAR-S","20151114","1"
"S-F","20151114","1"
"F","20151115","1"
"LV-S-F","20151115","1"
"S-F","20151115","1"
"LV","20151116","1"
"LV-S","20151116","1"
"LV-S-F","20151116","1"
"LV","20151117","1"
"LV-S","20151117","1"
"LV-S-F","20151117","1"
"MAR-S","20151117","1"
"LV","20151118","1"
"LV-S","20151118","1"
"LV-S-F","20151118","1"
"MAR-S","20151118","1"
"LV","20151119","1"
"LV-S","20151119","1"
"LV-S-F","20151119","1"
"MAR-S","20151119","1"
"LV","20151120","1"
"LV-S","20151120","1"
"LV-S-F","20151120","1"
"MAR-S","20151120","1"
"LV-S","20151121","1"
"LV-S-F","20151121","1"
"MAR-S","20151121","1"
"S-F","20151121","1"
"F","20151122","1"
"LV-S-F","20151122","1"
"S-F","20151122","1"
"LV","20151123","1"
"LV-S","20151123","1"
"LV-S-F","20151123","1"
"LV","20151124","1"
"LV-S","20151124","1"
"LV-S-F","20151124","1"
"MAR-S","20151124","1"
"LV","20151125","1"
"LV-S","20151125","1"
"LV-S-F","20151125","1"
"MAR-S","20151125","1"
"LV","20151126","1"
"LV-S","20151126","1"
"LV-S-F","20151126","1"
"MAR-S","20151126","1"
"LV","20151127","1"
"LV-S","20151127","1"
"LV-S-F","20151127","1"
"MAR-S","20151127","1"
"LV-S","20151128","1"
"LV-S-F","20151128","1"
"MAR-S","20151128","1"
"S-F","20151128","1"
"F","20151129","1"
"LV-S-F","20151129","1"
"S-F","20151129","1"
"LV","20151130","1"
"LV-S","20151130","1"
"LV-S-F","20151130","1"
"LV","20151201","1"
"LV-S","20151201","1"
"LV-S-F","20151201","1"
"MAR-S","20151201","1"
"LV","20151202","1"
"LV-S","20151202","1"
"LV-S-F","20151202","1"
"MAR-S","20151202","1"
"LV","20151203","1"
"LV-S","20151203","1"
"LV-S-F","20151203","1"
"MAR-S","20151203","1"
"LV","20151204","1"
"LV-S","20151204","1"
"LV-S-F","20151204","1"
"MAR-S","20151204","1"
"LV-S","20151205","1"
"LV-S-F","20151205","1"
"MAR-S","20151205","1"
"S-F","20151205","1"
"F","20151206","1"
"LV-S-F","20151206","1"
"S-F","20151206","1"
"F","20151207","1"
"LV-S-F","20151207","1"
"S-F","20151207","1"
"F","20151208","1"
"LV-S-F","20151208","1"
"S-F","20151208","1"
"LV","20151209","1"
"LV-S","20151209","1"
"LV-S-F","20151209","1"
"MAR-S","20151209","1"
"LV","20151210","1"
"LV-S","20151210","1"
"LV-S-F","20151210","1"
"MAR-S","20151210","1"
"LV","20151211","1"
"LV-S","20151211","1"
"LV-S-F","20151211","1"
"MAR-S","20151211","1"
"LV-S","20151212","1"
"LV-S-F","20151212","1"
"MAR-S","20151212","1"
"S-F","20151212","1"
"F","20151213","1"
"LV-S-F","20151213","1"
"S-F","20151213","1"
"LV","20151214","1"
"LV-S","20151214","1"
"LV-S-F","20151214","1"
"LV","20151215","1"
"LV-S","20151215","1"
"LV-S-F","20151215","1"
"MAR-S","20151215","1"
"LV","20151216","1"
"LV-S","20151216","1"
"LV-S-F","20151216","1"
"MAR-S","20151216","1"
"LV","20151217","1"
"LV-S","20151217","1"
"LV-S-F","20151217","1"
"MAR-S","20151217","1"
"LV","20151218","1"
"LV-S","20151218","1"
"LV-S-F","20151218","1"
"MAR-S","20151218","1"
"LV-S","20151219","1"
"LV-S-F","20151219","1"
"MAR-S","20151219","1"
"S-F","20151219","1"
"F","20151220","1"
"LV-S-F","20151220","1"
"S-F","20151220","1"
"LV","20151221","1"
"LV-S","20151221","1"
"LV-S-F","20151221","1"
"LV","20151222","1"
