"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type","shape_dist_traveled"
"1_0_17","11:44:00","11:44:00","S01076","3","","0","0",""
"1_0_17","11:45:00","11:45:00","S01075","4","","0","0",""
"1_0_17","11:48:00","11:48:00","S01074","5","","0","0",""
"1_0_17","11:52:00","11:52:00","S01072","7","","0","0",""
"1_0_17","11:55:00","11:55:00","S01071","8","","0","0",""
"1_0_17","11:58:00","11:58:00","S01070","9","","0","0",""
"1_0_17","12:01:00","12:01:00","S01069","10","","0","0",""
"1_0_17","12:06:00","12:06:00","S01642","11","","0","0",""
"1_0_17","12:12:00","12:12:00","S01643","12","","0","0",""
"1_0_17","12:15:00","12:15:00","S01645","13","","0","0",""
"1_0_17","12:17:00","12:17:00","S01648","14","","0","0",""
"1_0_17","12:19:00","12:19:00","S01649","15","","0","0",""
"1_0_17","12:22:00","12:22:00","S01650","16","","0","0",""
"1_0_17","12:26:00","12:26:00","S01633","17","","0","0",""
"1_0_17","12:35:00","12:35:00","S01820","18","","0","0",""
"1_0_17","12:40:00","12:40:00","S01624","19","","0","0",""
"1_0_17","12:43:00","12:43:00","S01830","20","","0","0",""
"1_0_17","12:46:00","12:46:00","S01821","21","","0","0",""
"1_0_17","12:50:00","12:50:00","S01822","22","","0","0",""
"1_0_17","12:55:00","12:55:00","S01823","23","","0","0",""
"1_0_17","13:01:00","13:01:00","S01824","24","","0","0",""
"1_0_17","13:07:00","13:07:00","S01825","25","","0","0",""
"1_0_18","12:08:00","12:08:00","S01933","1","","0","0",""
"1_0_18","12:11:00","12:11:00","S01077","2","","0","0",""
"1_0_18","12:14:00","12:14:00","S01076","3","","0","0",""
"1_0_18","12:15:00","12:15:00","S01075","4","","0","0",""
"1_0_18","12:18:00","12:18:00","S01074","5","","0","0",""
"1_0_18","12:22:00","12:22:00","S01072","7","","0","0",""
"1_0_18","12:25:00","12:25:00","S01071","8","","0","0",""
"1_0_18","12:28:00","12:28:00","S01070","9","","0","0",""
"1_0_18","12:31:00","12:31:00","S01069","10","","0","0",""
"1_0_18","12:36:00","12:36:00","S01642","11","","0","0",""
"1_0_18","12:42:00","12:42:00","S01643","12","","0","0",""
"1_0_18","12:45:00","12:45:00","S01645","13","","0","0",""
"1_0_18","12:47:00","12:47:00","S01648","14","","0","0",""
"1_0_18","12:49:00","12:49:00","S01649","15","","0","0",""
"1_0_18","12:52:00","12:52:00","S01650","16","","0","0",""
"1_0_18","12:56:00","12:56:00","S01633","17","","0","0",""
"1_0_18","13:05:00","13:05:00","S01820","18","","0","0",""
"1_0_18","13:10:00","13:10:00","S01624","19","","0","0",""
"1_0_18","13:13:00","13:13:00","S01830","20","","0","0",""
